a52dec 0.7.4-11
oniguruma 6.9.7.1-1
openal 1.21.1-1
openbox-themes-pambudi-git r29.9f88fb1-1
openconnect 1:8.10-1
opencore-amr 0.1.5-5
openexr 3.1.1-1
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openresolv 3.12.0-1
openssh 8.7p1-1
openssl 1.1.1.l-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.3-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
ostree 2021.3-1
oxy-neon 0-2
p11-kit 0.24.0-1
p7zip 1:17.04-1
pacman 6.0.0-5
pacman-contrib 1.4.0-4
pacman-mirrorlist 20210822-1
pahole 1.21-1
pam 1.5.1-1
pamac-all 10.1.3-5
pambase 20210605-2
pango 1:1.48.9-2
pangomm 2.46.1-2
paper-icon-theme 1.5.0-2
papirus-icon-theme 20210802-2
partclone 0.3.17-1
parted 3.4-2
partimage 0.6.9-13
paru-bin 1.8.2-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pbzip2 1.1.13-3
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
pcsclite 1.9.3-1
perl 5.34.0-2
perl-clone 0.45-3
perl-curses 1.38-1
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.06-3
perl-http-date 6.05-4
perl-http-message 6.33-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-libwww 6.56-1
perl-lwp-mediatypes 6.02-9
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-parse-yapp 1.21-4
perl-term-animation 2.6-8
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
perl-xml-writer 0.625-7
pfetch 0.6.0-3
picom-ibhagwan-git 1577_Next.296.g60eb00c_2021.02.08-1
pigz 2.6-1
pinentry 1.1.1-1
pipes.sh 1.3.0-1
pipewire 1:0.3.34-1
pixman 0.40.0-1
pixz 1.0.7-2
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
playerctl 2.3.1-1
polkit 0.119-1
polkit-gnome 0.105-8
polkit-qt5 0.114.0-1
polybar-git 3.5.6.r128.g5f346224-1
poppler 21.08.0-1
poppler-data 0.4.10-1
poppler-glib 21.08.0-1
poppler-qt5 21.08.0-1
popt 1.18-1
portaudio 1:19.7.0-1
powertop 2.14-1
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
progsreiserfs 0.3.0.5-10
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
pulseaudio-ctl 1.70-1
python 3.9.6-1
python-appdirs 1.4.4-3
python-beaker 1.11.0-6
python-beautifulsoup4 4.9.3-4
python-cairo 1.20.0-3
python-chardet 4.0.0-2
python-configobj 5.0.6.r110.g3e2f4cc-1
python-dnspython 1:1.16.0-3
python-docopt 0.6.2-9
python-ewmh 0.1.6-3
python-future 0.18.2-5
python-gobject 3.40.1-1
python-httplib2 0.19.1-1
python-i3ipc 2.2.1-2
python-idna 3.2-1
python-keyutils 0.6-6
python-lxml 4.6.3-1
python-mako 1.1.5-1
python-markdown 3.3.4-1
python-markupsafe 2.0.1-1
python-more-itertools 8.8.0-1
python-numpy 1.20.3-1
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pexpect 4.8.0-3
python-pillow 8.3.1-1
python-ply 3.11-7
python-psutil 5.8.0-1
python-ptyprocess 0.7.0-1
python-pycups 2.0.1-3
python-pycurl 7.43.0.6-4
python-pyparsing 2.4.7-3
python-pyparted 3.11.7-1
python-pywal 3.3.0-3
python-pyxdg 0.27-1
python-requests 2.26.0-1
python-setproctitle 1.2.2-1
python-setuptools 1:57.4.0-1
python-six 1.16.0-1
python-soupsieve 2.2.1-1
python-urllib3 1.26.6-1
python-xapp 2.2.1-1
python-xlib 0.31-1
python-yaml 5.4.1.1-2
python2 2.7.18-3
python2-pyxdg 0.27-1
qbittorrent 4.3.7-1
qmltermwidget 0.2.0-3
qpdf 10.3.2-1
qt5-base 5.15.2+kde+r222-1
qt5-declarative 5.15.2+kde+r30-1
qt5-graphicaleffects 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2+kde+r8-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-virtualkeyboard 5.15.2-1
qt5-wayland 5.15.2+kde+r29-1
qt5-webchannel 5.15.2-1
qt5-webkit 5.212.0alpha4-10
qt5-x11extras 5.15.2-1
qt5ct 1.3-1
ranger 1.9.3-3
raptor 2.0.15-16
rasqal 1:0.9.33-4
rav1e 0.4.1-1
readline 8.1.001-1
recode 3.7.9-1
redland 1:1.0.17-8
reflector 2021.7.8-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
ripgrep 13.0.0-2
ristretto 0.11.0-1
rofi 1.7.0-1
rofi-greenclip 4.2-2
rp-pppoe 3.15-2
rpcbind 1.2.6-1
rsync 3.2.3-4
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.9.2-1
ruby 3.0.2-1
ruby-diff-lcs 1.4.4-2
ruby-irb 1.3.6-1
ruby-manpages 0.6.1-4
ruby-optimist 3.0.1-2
ruby-paint 2.2.1-2
ruby-rainbow 3.0.0-6
ruby-rdoc 6.3.1-1
ruby-reline 0.2.5-1
ruby-rspec 3.10.0-1
ruby-rspec-core 3.10.1-1
ruby-rspec-expectations 3.10.1-1
ruby-rspec-mocks 3.10.2-1
ruby-rspec-support 3.10.2-1
ruby-term-ansicolor 1.7.1-2
ruby-tins 1.26.0-2
rubygems 3.2.21-1
run-parts 5.3-1
rust 1:1.54.0-1
rxvt-unicode 9.26-2
rxvt-unicode-terminfo 9.26-2
samba 4.14.7-1
sardi-icons 21.07-06
sbc 1.5-2
screen 4.8.0-3
scrot 1.6-2
sddm 0.19.0-6
sddm-config-editor-git 0.1.r80.g8fca3ce-1
sdl2 2.0.16-2
sdparm 1.12-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
sg3_utils 1.46-1
shaderc 2021.1-2
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
sl 5.02-6
slang 2.3.2-2
slurm 0.4.3-2
smartmontools 7.2-1
smbclient 4.14.7-1
snapd 2.51.4-1
snapd-glib 1.59-1
snappy 1.1.9-1
sof-firmware 1.8-1
solid 5.85.0-1
sonnet 5.85.0-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
spandsp 0.0.6-3
speedtest-cli-git 2.1.3.r1.g22210ca-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.1-1
splix 2.0.0-15
spotify 1:1.1.56.595-1
spotifywm-git 0.0.r2.690bd0d-1
sqlite 3.36.0-1
squashfs-tools 4.5-1
sratom 0.6.8-1
srt 1.4.3-1
sshfs 3.7.2-1
startup-notification 0.12-7
steam 1.0.0.71-1
stoken 0.92-4
sublime-text-4 4.4113-1
sudo 1.9.7.p2-1
suitesparse 5.10.1-1
surfn-icons-git 21.07-06
surfn-mint-y-icons-git 21.07-06
svt-av1 0.8.7-1
svt-hevc 1.5.1-1
syndication 5.85.0-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.15-1
systemd 249.4-1
systemd-libs 249.4-1
systemd-sysvcompat 249.4-1
taglib 1.12-1
talloc 2.3.3-1
tar 1.34-1
tbb 2020.3-1
tcl 8.6.11-1
tcpdump 4.99.1-1
tdb 1.4.5-1
telepathy-glib 0.24.2-2
terminus-font 4.49.1-2
termite 16.0-1
termite-terminfo 15-7
testdisk 7.1-2
tevent 1:0.11.0-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
thunar 4.16.8-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
timeshift 20.11.1+4+gd437358-3
timeshift-autosnap 0.9-1
tmux 3.2_a-1
toilet 0.3.r155.3eb9d58-1
tolua++ 1.0.93-4
tpm2-tss 3.1.0-1
tree 1.8.0-2
tree-sitter 0.20.0-1
tslib 1.22-1
ttf-anonymous-pro 1.003-5
ttf-bitstream-vera 1.10-14
ttf-caladea 20200113-3
ttf-carlito 20130920-6
ttf-cascadia-code 2106.17-1
ttf-cormorant 3.609-1
ttf-croscore 20201226-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-eurof 1.0-2
ttf-fantasque-sans-mono 1.8.0-2
ttf-fira-code 5.2-1
ttf-fira-mono 2:3.206-4
ttf-fira-sans 1:4.301-2
ttf-font-awesome 5.15.4-1
ttf-hack 3.003-3
ttf-hactor 20210708-1
ttf-hellvetica 20191029-2
ttf-ibm-plex 5.2.1-2
ttf-inconsolata 1:3.000-3
ttf-jetbrains-mono 2.242-1
ttf-joypixels 6.6.0-1
ttf-lato 2.015-4
ttf-liberation 2.1.4-1
ttf-linux-libertine 5.3.0-7
ttf-linux-libertine-g 20120116-6
ttf-meslo-nerd-font-powerlevel10k 1.000-3
ttf-monofur 1.0-7
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-proggy-clean 1.1.5-2
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
ttf-ubuntu-font-family 0.83-7
tty-clock 2.3-1
tumbler 4.16.0-3
twolame 0.4.0-2
tzdata 2021a-1
uchardet 0.0.7-1
udftools 2.3-1
udiskie 2.3.3-1
udisks2 2.9.3-1
ufetch-arco-git 1:r167.21f22c2-1
ufetch-git v0.1.r26.21f22c2-1
unace 2.5-11
unibilium 2.1.1-1
unrar 1:6.0.7-1
unzip 6.0-14
upower 0.99.13-1
urxvt-fullscreen 1-1
urxvt-perls 2.3-1
urxvt-resize-font-git 27.b593580-1
usb_modeswitch 2.6.1-1
usbmuxd 1.1.1-1
usbutils 014-1
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
v4l-utils 1.20.0-1
variety 0.8.5-2
vid.stab 1.1-3
vim 8.2.2891-1
vim-runtime 8.2.2891-1
visual-studio-code-bin 1.59.1-1
vlc 3.0.16-3
vmaf 1.5.3-1
volume_key 0.3.12-5
volumeicon 0.5.1-5
vpnc 1:0.5.3.r496.r153-2
vte-common 0.64.2-2
vte3 0.64.2-2
vtop 0.6.1-1
vulkan-icd-loader 1.2.188-1
w3m 0.5.3.git20210102_6-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.21-1
webkit2gtk 2.32.3-1
webrtc-audio-processing 0.3.1-3
wget 1.21.1-1
which 2.21-5
whois 5.5.10-1
wildmidi 0.4.4-1
wireless-regdb 2021.04.21-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.10.0-1
wttr 1.2.1-2
wvdial 1.61-8
wvstreams 4.6.1-17
x264 3:0.161.r3039.544c61f-1
x265 3.5-1
xapian-core 1:1.4.18-1
xapp 2.2.2-1
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xcursor-arch-cursor-complete 06.10.2018-1
xcursor-breeze 1:5.21.1-1
xcursor-comix 0.9.2-1
xcursor-flatbed 0.4-3
xcursor-neutral 1.13a-9
xcursor-premium 0.3-10
xcursor-simpleandsoft 0.2-9
xdg-dbus-proxy 0.1.2-3
xdg-desktop-portal 1.8.1-1
xdg-desktop-portal-gtk 1.8.0-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdo 0.5.7-2
xdotool 3.20210804.2-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 1.1.0-1
xf86-input-vmmouse 13.1.0-5
xf86-input-void 1.4.1-5
xf86-video-amdgpu 21.0.0-1
xf86-video-ati 1:19.1.0-2
xf86-video-fbdev 0.5.0-2
xf86-video-nouveau 1.0.17-1
xf86-video-openchrome 0.6.0-4
xf86-video-vesa 2.5.0-1
xf86-video-vmware 13.3.0-2
xfce4-appfinder 4.16.1-2
xfce4-notifyd 0.6.2-2
xfce4-panel 4.16.3-2
xfce4-power-manager 4.16.0-3
xfce4-screenshooter 1.9.9-2
xfce4-settings 4.16.2-1
xfce4-taskmanager 1.4.2-1
xfce4-terminal 0.8.10-2
xfconf 4.16.0-2
xfsprogs 5.13.0-1
xfwm4 4.16.1-2
xidlehook-git 0.10.0.r3.g5c6cd2f-1
xkeyboard-config 2.33-1
xl2tpd 1.3.16-1
xmlsec 1.2.32-1
xorg-bdftopcf 1.1-2
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.13-2
xorg-server-common 1.20.13-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2021.4-1
xplc 0.3.13-8
xsel 1.2.0.20190821-1
xvidcore 1.3.7-2
xxhash 0.8.0-1
xz 5.2.5-1
yad 10.1-1
yajl 2.1.0-4
yay-bin 10.3.1-2
youtube-dl 2021.06.06-1
zafiro-icon-theme 1.1-1
zbar 0.23.1-7
zeitgeist 1.0.3-3
zenity 3.32.0+55+gd7bedff-1
zeromq 4.3.4-1
zimg 3.0.2-1
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zsh 5.8-1
zsh-completions 0.33.0-1
zsh-syntax-highlighting 0.7.1-1
zsh-theme-powerlevel10k-git r3920.ec44300-1
zstd 1.5.0-1
zvbi 0.2.35-4
zxing-cpp 1.2.0-1
